"10001","60117","1986-06-26","1987-06-26"
"10001","62102","1987-06-26","1988-06-25"
"10001","66074","1988-06-25","1989-06-25"
"10001","66596","1989-06-25","1990-06-25"
"10001","66961","1990-06-25","1991-06-25"
"10001","71046","1991-06-25","1992-06-24"
"10001","74333","1992-06-24","1993-06-24"
"10001","75286","1993-06-24","1994-06-24"
"10001","75994","1994-06-24","1995-06-24"
"10001","76884","1995-06-24","1996-06-23"
"10001","80013","1996-06-23","1997-06-23"
"10001","81025","1997-06-23","1998-06-23"
"10001","81097","1998-06-23","1999-06-23"
"10001","84917","1999-06-23","2000-06-22"
"10001","85112","2000-06-22","2001-06-22"
"10001","85097","2001-06-22","2002-06-22"
"10001","88958","2002-06-22","9999-01-01"
"10002","65828","1996-08-03","1997-08-03"
"10002","65909","1997-08-03","1998-08-03"
"10002","67534","1998-08-03","1999-08-03"
"10002","69366","1999-08-03","2000-08-02"
"10002","71963","2000-08-02","2001-08-02"
"10002","72527","2001-08-02","9999-01-01"
"10003","40006","1995-12-03","1996-12-02"
"10003","43616","1996-12-02","1997-12-02"
"10003","43466","1997-12-02","1998-12-02"
"10003","43636","1998-12-02","1999-12-02"
"10003","43478","1999-12-02","2000-12-01"
"10003","43699","2000-12-01","2001-12-01"
"10003","43311","2001-12-01","9999-01-01"
"10004","40054","1986-12-01","1987-12-01"
"10004","42283","1987-12-01","1988-11-30"
"10004","42542","1988-11-30","1989-11-30"
"10004","46065","1989-11-30","1990-11-30"
"10004","48271","1990-11-30","1991-11-30"
"10004","50594","1991-11-30","1992-11-29"
"10004","52119","1992-11-29","1993-11-29"
"10004","54693","1993-11-29","1994-11-29"
"10004","58326","1994-11-29","1995-11-29"
"10004","60770","1995-11-29","1996-11-28"
"10004","62566","1996-11-28","1997-11-28"
"10004","64340","1997-11-28","1998-11-28"
"10004","67096","1998-11-28","1999-11-28"
"10004","69722","1999-11-28","2000-11-27"
"10004","70698","2000-11-27","2001-11-27"
"10004","74057","2001-11-27","9999-01-01"
"10005","78228","1989-09-12","1990-09-12"
"10005","82621","1990-09-12","1991-09-12"
"10005","83735","1991-09-12","1992-09-11"
"10005","85572","1992-09-11","1993-09-11"
"10005","85076","1993-09-11","1994-09-11"
